id,tituloPincipal,tituloOriginal,anoLancamento,tempoMinutos,genero,notaMedia,numeroVotos,generoArtista,personagem,nomeArtista,anoNascimento,anoFalecimento,profissao,titulosMaisConhecidos,emIngles
tt5021968,Chinar Daastaan-E-Ishq,Chinar Daastaan-E-Ishq,2015,116,Romance,7.2,72,actor,Salaam,Pramod Moutho,1955,N,actor,"tt0449994,tt0107986,tt0284137,tt0107311",False
tt5033038,Youth Never Returns,Ji ran qing chun liu bu zhu,2015,79,Romance,5.1,117,actor,Feng Song,Xiaokun Wang,1988,N,"actor,director","tt6857280,tt5033038,tt5599016,tt3956312",False
tt5045648,The Jakes Are Missing,The Jakes Are Missing,2015,95,Romance,8.1,22,actress,Janice Jakes,Mampho Brescia,1977,N,actress,"tt9817236,tt4171680,tt1136608,tt15422240",True
tt5052972,Yaara Silly Silly,Yaara Silly Silly,2015,108,Romance,5.5,264,actress,Devanshi S Roy a.k.a. Mallika,Paoli Dam,1980,N,"actress,music_department","tt12393526,tt2309987,tt13144076,tt4614362",False
tt5074740,Ishq Ne Krazy Kiya Re,Ishq Ne Krazy Kiya Re,2015,N,Romance,8.6,21,actor,N,Nishant Malkani,N,N,"actor,writer,director","tt8903210,tt8407560,tt2631630,tt5370502",False
tt5078964,Dildariyaan,Dildariyaan,2015,116,Romance,6.2,177,actor,Parwaan,Jassie Gill,N,N,"actor,music_department,composer","tt8983166,tt5078964,tt9176136,tt13451792",False
tt5086384,A Christmas in New York,A Christmas in New York,2016,81,Romance,4.7,156,actor,Sam Martin,Jamie Bamber,1973,N,"actor,producer","tt1492179,tt1166893,tt0407362,tt5269594",True
tt5154096,Love Exchange,Love Exchange,2015,122,Romance,5.4,53,actor,Mr. Kapoor,Manoj Pahwa,1963,N,actor,"tt0412308,tt10324144,tt10895576,tt7618184",True
tt5170834,Twenty Again,Doo beon-jjae seu-mool,2015,126,Romance,6.4,22,actress,N,Tae-ran Lee,1975,N,actress,"tt3945686,tt3614922,tt5170834,tt1201143",False
tt5171816,Ce qu'il ne faut pas dire,Ce qu'il ne faut pas dire,2015,85,Romance,5.3,12,actor,N,Yvan Benoît,1957,N,actor,"tt0396112,tt0122436,tt2229319,tt0116554",False
tt5179576,The Black Devil and the White Prince,Kurosaki-kun no iinari ni nante naranai,2016,93,Romance,6.1,892,actress,Natsumi Yamada,Rimo Hasegawa,N,N,actress,"tt15783416,tt5179576",False
tt5181806,Enamorándome de Abril,Enamorándome de Abril,2019,90,Romance,3.9,41,actor,N,Arap Bethke,1980,N,"actor,director,writer","tt10709178,tt2378281,tt4444488,tt9010380",False
tt5190944,Mumbai Pune Mumbai 2,Mumbai Pune Mumbai 2,2015,149,Romance,6.8,481,actor,Gautam Pradhan,Swapnil Joshi,1977,N,"actor,producer,soundtrack","tt0268085,tt5648016,tt1292703,tt7626364",False
tt5192998,No Boyfriend Since Birth,No Boyfriend Since Birth,2015,100,Romance,5.9,27,actor,Carlo,Tom Rodriguez,1987,N,"actor,soundtrack","tt1886693,tt6896960,tt3244320,tt1648095",True
tt5210054,Mind Memory:1.44,Mind Memory:1.44,2017,N,Romance,8.5,21,actor,Pat,James Ma,1993,N,actor,"tt11524420,tt22398524,tt21080234,tt5210054",True
tt5216780,Huccha Venkat,Huccha Venkat,2014,N,Romance,4.7,41,actor,N,Patre Nagaraj,N,N,actor,"tt5988462,tt4909506,tt1964837,tt4440182",False
tt5226466,Badmaash,Badmaash,2016,124,Romance,6.2,58,actor,Vijay,Dhananjaya,1986,N,"actor,producer","tt9389998,tt10415600,tt9320226,tt11306926",False
tt5227998,Abbayitho Ammayi,Abbayitho Ammayi,2016,N,Romance,6.3,53,actor,Aiyaan,Brahmanandam,1956,N,"actor,music_department,soundtrack","tt5457772,tt1582466,tt1756476,tt3142764",False
tt5257730,The Last Women Standing,Sheng zhe wei wang,2015,96,Romance,5.2,364,actor,Sheng's Father,Shih-Chieh King,1951,N,"actor,music_department,soundtrack","tt4851640,tt4019426,tt10535458,tt1847713",False
tt5278634,White,White,2016,149,Romance,2.9,533,actor,Prakash Roy,Mammootty,1951,N,"actor,producer,music_department","tt1573478,tt0230597,tt0271648,tt0097851",True
tt5302316,3 Days 3 Nights,3 Days 3 Nights,2021,N,Romance,4.2,54,actress,Ragan,Tara Hayes,N,N,actress,"tt9855500,tt5302316",True
tt5328796,The Naked Poet,The Naked Poet,2016,117,Romance,5.0,15,actress,Michelle,Kéllé Bryan,1975,N,"actress,talent_agent,soundtrack","tt5328796,tt1400591,tt0088512,tt1550663",True
tt5334470,Proximity,Proximity,2016,76,Romance,8.8,35,actor,Dr. Gordon,Bill Finkbiner,N,N,actor,"tt6274696,tt5334470,tt2385041,tt1804737",False
tt5341036,Always Be My Maybe,Always Be My Maybe,2016,112,Romance,6.6,395,actor,Jake,Gerald Anderson,1989,N,"actor,soundtrack","tt0399989,tt4003340,tt8140564,tt2717558",True
tt5347160,Podmo Patar Jol,Podmo Patar Jol,2015,154,Romance,6.3,37,actress,Jhumri Bai,Nima Rahman,N,N,actress,"tt5347160,tt5637280",False
tt5359598,Trouvoete,Trouvoete,2015,N,Romance,5.8,34,actor,Phillip,Paul du Toit,N,N,"actor,writer","tt10394778,tt6086082,tt4025594,tt4500922",False
tt5364390,My Boy Boy Boy Boyfriend,Wo de nan nan nan nan peng you,2013,N,Romance,3.0,8,actress,Jing jing,Jing Jing He,N,N,actress,"tt5364390,tt1883400",False
tt5364694,My Beautiful Kingdom,Wo de mei li wang guo,2013,87,Romance,4.5,7,actress,Yizhi,Xuan Gu,N,N,actress,"tt21210124,tt9081510,tt9490414,tt1556143",False
tt5364756,Broadcasting Girl,Wo de bo yin xi nu you,2014,96,Romance,5.7,15,actress,Zhang Lele,Stephy Qi,1984,N,"actress,soundtrack","tt10380358,tt11137562,tt4537986,tt5425144",False
