id,tituloPincipal,tituloOriginal,anoLancamento,tempoMinutos,genero,notaMedia,numeroVotos,generoArtista,personagem,nomeArtista,anoNascimento,anoFalecimento,profissao,titulosMaisConhecidos
tt10452466,2 Hours Love,2 Hours Love,2019,150,Romance,6.9,1827,actor,N,Vardhan,N,N,actor,"tt8071688,tt10452466"
tt10452466,2 Hours Love,2 Hours Love,2019,150,Romance,6.9,1827,actress,N,Lavanya Reddy,N,N,actress,"tt16794528,tt7465992,tt11191344,tt10214826"
tt10452466,2 Hours Love,2 Hours Love,2019,150,Romance,6.9,1827,actor,Avika,Kriti Garg,N,N,actor,"tt10768548,tt13101068,tt7858050,tt10452466"
tt10452466,2 Hours Love,2 Hours Love,2019,150,Romance,6.9,1827,actor,Narsing,Narsing Yadav,1968,2020,actor,"tt9537292,tt0460394,tt0118931,tt0247924"
tt10452466,2 Hours Love,2 Hours Love,2019,150,Romance,6.9,1827,actor,Bharani,Tanikella Bharani,1954,N,"actor,writer,director","tt2742164,tt2631186,tt4849438,tt1268906"
tt10452466,2 Hours Love,2 Hours Love,2019,150,Romance,6.9,1827,actor,Adit,Sri Pawar,N,N,"director,actor",N
tt10458950,Chocolate Kiss,Chocolate Kiss,2020,88,Romance,6.7,30,actor,Pastor,Lamont Collins,N,N,actor,"tt21336274,tt10458950,tt16304550,tt13456330"
tt10458950,Chocolate Kiss,Chocolate Kiss,2020,88,Romance,6.7,30,actress,Ashley Valentine,Kristin Clarke,N,N,actress,"tt10458950,tt15067426,tt15467394,tt5845560"
tt10458950,Chocolate Kiss,Chocolate Kiss,2020,88,Romance,6.7,30,actress,Dallas's Mom,Pamela 'Vonnie' Cann,N,N,actress,N
tt10458950,Chocolate Kiss,Chocolate Kiss,2020,88,Romance,6.7,30,actor,Terrence,Darrell Arnold,N,N,,N
tt10467054,Yarn,Yarn,2020,130,Romance,6.5,434,actress,Goto Yumi,Fumika Baba,1995,N,actress,"tt5179942,tt4561080,tt3786488,tt4731580"
tt10467054,Yarn,Yarn,2020,130,Romance,6.5,434,actor,Ren Takahashi,Masaki Suda,1993,N,"actor,soundtrack","tt1483620,tt1663920,tt5905008,tt2084868"
tt10467054,Yarn,Yarn,2020,130,Romance,6.5,434,actress,Singaporean Celebrity by the pool,Yumika Hoskin,N,N,,"tt1356887,tt2735232,tt10467054,tt17352562"
tt10467054,Yarn,Yarn,2020,130,Romance,6.5,434,actress,Setsuko Murata,Mitsuko Baishô,1946,N,"actress,soundtrack","tt0089327,tt0120408,tt0319698,tt0100998"
tt10467054,Yarn,Yarn,2020,130,Romance,6.5,434,actress,Akira Sonoda,Nana Komatsu,1996,N,"actress,soundtrack","tt0490215,tt5108912,tt4912452,tt3108158"
tt10467054,Yarn,Yarn,2020,130,Romance,6.5,434,actress,Kaoru Kirino,Nana Eikura,1988,N,actress,"tt0991242,tt0467693,tt1674778,tt1435613"
tt10489754,Erotic Fire of the Unattainable,Erotic Fire of the Unattainable,2020,80,Romance,6.5,48,actor,N,Craig Braun,1939,N,actor,"tt0115580,tt0155711,tt0119223,tt0244244"
tt10489754,Erotic Fire of the Unattainable,Erotic Fire of the Unattainable,2020,80,Romance,6.5,48,actor,N,Steve Starr,N,N,actor,tt10489754
tt10489754,Erotic Fire of the Unattainable,Erotic Fire of the Unattainable,2020,80,Romance,6.5,48,actor,N,George Sibley,N,N,actor,tt10489754
tt10489754,Erotic Fire of the Unattainable,Erotic Fire of the Unattainable,2020,80,Romance,6.5,48,actress,N,Sally Engel,N,N,actress,tt10489754
tt10505592,Asche Bochor Abar Hobe,Asche Bochor Abar Hobe,2015,125,Romance,6.9,21,actor,Arya,Arjun Chakrabarty,1990,N,actor,"tt8374266,tt5571734,tt8665794,tt10738666"
tt10505592,Asche Bochor Abar Hobe,Asche Bochor Abar Hobe,2015,125,Romance,6.9,21,actor,Salman,Salman Rahman,N,N,"music_department,actor,publicist","tt3498820,tt10648342,tt13207508,tt14814040"
tt10505592,Asche Bochor Abar Hobe,Asche Bochor Abar Hobe,2015,125,Romance,6.9,21,actress,Piu,Rittika Sen,N,N,actress,"tt5309284,tt9760934,tt10966832,tt3958596"
tt10514932,Ageless Love,Ageless Love,2021,99,Romance,8.6,72,actor,Yale Schwartz,Nicholas Runfolo,N,N,,"tt10514932,tt15206296,tt12255500,tt13828084"
tt10514932,Ageless Love,Ageless Love,2021,99,Romance,8.6,72,actor,Jerry Stern,Danny Plaza,N,N,"actor,stunts","tt8688634,tt3581654,tt10514932,tt4216636"
tt10514932,Ageless Love,Ageless Love,2021,99,Romance,8.6,72,actress,Nina Lemisch,Elizabeth Caponigro,N,N,"actress,producer","tt10514932,tt7468076,tt12255500,tt15528316"
tt10514932,Ageless Love,Ageless Love,2021,99,Romance,8.6,72,actress,Shirley Shapiro,Val McAdoo,N,N,"actress,location_management,set_decorator","tt7979668,tt13828084,tt10514932,tt8318702"
tt10515408,Golmaal Love,Golmaal Love,2019,160,Romance,7.8,9,actor,N,Salil Mitra,N,2019,actor,"tt4145834,tt1459974,tt5905080,tt2320258"
tt10515408,Golmaal Love,Golmaal Love,2019,160,Romance,7.8,9,actor,N,Babushan Mohanty,N,N,"actor,music_department","tt2022353,tt2927606,tt17592606,tt3173928"
tt10515408,Golmaal Love,Golmaal Love,2019,160,Romance,7.8,9,actor,N,Jiban Panda,N,N,actor,"tt1857783,tt1966344,tt3207904,tt5024572"
